"GENC","Country/Area Name","Year","GROUP","Population","% of Population","Male Population","% of Males","Female Population","% of Females","Sex ratio of the population"
"VN","Vietnam","2098","11","961621","0.8817782540808725","494851","0.902405576627245","466770","0.8609154299295682","1.0601602502303062"
"VN","Vietnam","2098","12","968543","0.8881255250688687","498426","0.908924912622206","470117","0.8670886714488908","1.0602169247229944"
"VN","Vietnam","2098","13","975587","0.8945846664787855","502056","0.9155445460940123","473531","0.8733854884632223","1.060238928391172"
"VN","Vietnam","2098","14","982824","0.9012207832282983","505795","0.9223629509290219","477029","0.8798372359489083","1.060302413480103"
"VN","Vietnam","2098","15","989820","0.9076359100459841","509383","0.9289059936003281","480437","0.8861229865010003","1.060249314686421"
"VN","Vietnam","2098","16","996517","0.9137768626328967","512799","0.9351353787076808","483718","0.8921744969356873","1.0601197391868815"
"VN","Vietnam","2098","17","1003274","0.9199728334600985","516242","0.9414140007582124","487032","0.8982868729126924","1.059975525222162"
"VN","Vietnam","2098","18","1010056","0.926191728554087","519699","0.9477181530755774","490357","0.9044195374038031","1.0598380363694206"
"VN","Vietnam","2098","19","1016815","0.9323895333226316","523141","0.953994951535621","493674","0.9105374466119278","1.0596891876015346"
"VN","Vietnam","2098","20","1023602","0.9386130132699778","526597","0.9602972802624978","497005","0.9166811775652783","1.0595406484844216"
"VN","Vietnam","2098","21","1030383","0.9448309913932949","530043","0.9665813730844938","500340","0.9228322861601218","1.0593656313706679"
"VN","Vietnam","2098","22","1037121","0.9510095397777384","533468","0.9728271705062395","503653","0.9289428177267535","1.0591975030427696"
"VN","Vietnam","2098","23","1043724","0.9570642971215318","536821","0.978941669412842","506903","0.9349371514398694","1.0590211539485859"
"VN","Vietnam","2098","24","1050092","0.962903566357527","540051","0.984831866689408","510041","0.9407249111911794","1.0588384071084482"
"VN","Vietnam","2098","25","1056324","0.9686181275822008","543233","0.9906345316225452","513091","0.946350362829642","1.058745914467414"
"VN","Vietnam","2098","26","1062478","0.974261165094499","546395","0.9964007247459205","516083","0.9518688386664552","1.0587347384044814"
"VN","Vietnam","2098","27","1068505","0.9797877473315191","549496","1.0020556788495216","519009","0.9572655834186327","1.0587407925488768"
"VN","Vietnam","2098","28","1074413","0.9852052100586327","552526","1.0075811580284675","521887","0.9625737964728934","1.0587081111428336"
"VN","Vietnam","2098","29","1080126","0.9904438635048075","555462","1.0129352197015318","524664","0.9676957240794544","1.0587004254151229"
